nama_sppg,alamat,provinsi,kab_kota,kecamatan,desa
"SPPG Bogor Gunung Putri Wanaherang 3","Jl. Anggrek Kel. Wanaherang Kec. Gunung Putri Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG PUTRI","WANAHERANG"
"SPPG Bogor Leuwiliang Leuwiliang 2","Jl. Lingkar Leuwiliang Kel. Leuwiliang Kec. Leuwiliang Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","LEUWILIANG","LEUWILIANG"
"SPPG Bogor Pamijahan Gunungsari 2","Kampung Lokapurna Rt. 002 Rw.008, Gunungsari, Kec. Pamijahan, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","PAMIJAHAN","GUNUNGSARI"
"SPPG Bogor Gunung Putri Bojong Nangka","Jl. Gbhn Kampung Bojong Nangka Rt 021/09, Bojong Nangka, Gunung Putri, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","GUNUNG PUTRI","BOJONG NANGKA"
"SPPG Kota Bogor Tanah Sareal Sukaresmi","Jl. Raya Cilebut Tugu Wates, Rt.01/Rw.01, Sukaresmi, Kec. Tanah Sereal, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","TANAH SAREAL","SUKARESMI"
"SPPG Kota Bogor Bogor Tengah Babakan","Jl. Gunung Gede I No. 22, Rt 004/Rw 003, Kelurahan Babakan, Kecamatan Bogor Tengah, Kota Bogor, Provinsi Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR TENGAH","BABAKAN"
"SPPG Bogor Jonggol Sukasirna 2","Jl. Raya Jonggol Dayeuh, Desa Sukasirna, Kec. Jonggol, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","JONGGOL","SUKASIRNA"
"SPPG Bogor Pamijahan Pasarean 2","Jl. KH. Abdul Hamid, RT.04/RW.03, Kp. Kawakilan, Kec. Pamijahan Kabupaten Bogor, Jawa Barat 16810","JAWA BARAT","BOGOR","PAMIJAHAN","PASAREAN"
"SPPG Kota Bogor Bogor Utara tegal Gundil","VILLA CITRA III BLOK E No.8 BANTARJATI","JAWA BARAT","KOTA BOGOR","BOGOR UTARA","TEGAL GUNDIL"
"SPPG Bogor Tenjo Babakan 2","Jl. Manunggal XXX Rt 003 Rw 003, Babakan, Kec. Tenjo, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TENJO","BABAKAN"
"SPPG Bogor Sukajaya Cipayung","Kampung Kompa 1 Rt 1 Rw 1 Desa Sipayung, Kecamatan Sukajaya, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","SUKAJAYA","CIPAYUNG"
"SPPG Bogor Caringin Cimande Hilir","Ko. Babakan Rt 003 Rw 002 Cimande Hilir, Kec. Caringin, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","CARINGIN","CIMANDE HILIR"
"SPPG Bogor Ciawi Ciawi","Ciawi, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIAWI","CIAWI"
"SPPG Bogor Megamendung Pasir Angin 2","Desa Pasir Angin RT.04/RW.05 Kec. Megamendung Kab. Bogor","JAWA BARAT","BOGOR","MEGAMENDUNG","PASIR ANGIN"
"SPPG Bogor Pamijahan Pasarean 2","Jl. KH. Abdul Hamid, RT.04/RW.03, Kp. Kawakilan, Kec. Pamijahan Kabupaten Bogor, Jawa Barat 16810","JAWA BARAT","BOGOR","PAMIJAHAN","PASAREAN"
"SPPG Bogor Jonggol Sukasirna 2","Jl. Raya Jonggol Dayeuh, Desa Sukasirna, Kec. Jonggol, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","JONGGOL","SUKASIRNA"
"SPPG Kota Bogor Bogor Utara tegal Gundil","VILLA CITRA III BLOK E No.8 BANTARJATI","JAWA BARAT","KOTA BOGOR","BOGOR UTARA","TEGAL GUNDIL"
"SPPG Bogor Sukajaya Cipayung","Kampung Kompa 1 Rt 1 Rw 1 Desa Sipayung, Kecamatan Sukajaya, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","SUKAJAYA","CIPAYUNG"
"SPPG Bogor Tenjo Babakan 2","Jl. Manunggal XXX Rt 003 Rw 003, Babakan, Kec. Tenjo, Kab. Bogor, Jawa Barat","JAWA BARAT","BOGOR","TENJO","BABAKAN"
"SPPG Bogor Tajurhalang Tonjong","Jalan PWRI No. 59, Kampung Jati Pondok, RT 001/RW 005","JAWA BARAT","BOGOR","TAJURHALANG","TONJONG"
"SPPG Bogor Caringin Cimande","Jl. Kampung Cimande, Rt 006/Rw 002, Desa Cimande, Kec. Caringin, Kabupaten Bogor, Jawa Barat 16730","JAWA BARAT","BOGOR","CARINGIN","CIMANDE"
"SPPG Bogor Caringin Cimande","Jl. Kampung Cimande, Rt 006/Rw 002, Desa Cimande, Kec. Caringin, Kabupaten Bogor, Jawa Barat 16730","JAWA BARAT","BOGOR","CARINGIN","CIMANDE"
"SPPG Bogor Ciomas Kota Batu 3","Gang Hanjuang No.15, Rt.3/Rw.2, Kota Batu, Kecamatan Ciomas, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIOMAS","KOTA BATU"
"SPPG Bogor Ciawi Ciawi","Ciawi, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIAWI","CIAWI"
"SPPG Bogor Cileungsi Cileungsi 5","JL.RAYA TUNGGILIS NO.111 KP.GANDOANG KEC.CILEUNGSI KAB.BOGOR","JAWA BARAT","BOGOR","CILEUNGSI","GANDOANG"
"SPPG Bogor Cisarua Jogjogan 1","Jl. Hankam RT 002 RW 001 Desa Jogjogan Kecamatan Cisarua Kabupaten Bogor Jawa Barat","JAWA BARAT","BOGOR","CISARUA","JOGJOGAN"
"SPPG Bogor Sukajaya Cipayung","Kampung Kompa 1 Rt 1 Rw 1 Desa Sipayung, Kecamatan Sukajaya, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","SUKAJAYA","CIPAYUNG"
"SPPG Bogor Jonggol Sukamaju","`Ruko Citra Indah Bukit Permai Blok O 01-12 Rt 00 Rw 012, Sukamaju,Jonggol Kab Bogor`","JAWA BARAT","BOGOR","JONGGOL","SUKAMAJU"
"SPPG Bogor Cigombong Srogol 3","Kampung Pangarakan No. 100, RT.017, RW.006, Desa Srogol, Kecamatan Cigombong, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIGOMBONG","SROGOL"
"SPPG Kota Bogor Bogor Selatan Harjasari 4","Jl. Baskom Pesantren Rt 01 Rw 09, Harjasari, Kec. Bogor Selatan, Kota Bogor, Jawa Barat","JAWA BARAT","KOTA BOGOR","BOGOR SELATAN","HARJASARI"
"SPPG Bogor Sukaraja Pasir Jambu","Kp. Tunggilis Pangkalan III No. 66 RT. 002 RW. 008 Kel. Pasir Jambu Kec. Sukaraja Kab. Bogor","JAWA BARAT","BOGOR","SUKARAJA","PASIR JAMBU"
"SPPG Bogor Ciawi Jambuluwuk","KP Karakal RT 02 RW 06 Desa Jambu luwuk, Kec Ciawi, Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIAWI","JAMBULUWUK"
"SPPG Bogor Ciampea Cicadas 2","Kampung Cicadas Rt 001 Rw 002 Desa Cicadas, Kecamatan Ciampea, Kabupaten Bogor, Jawa Barat","JAWA BARAT","BOGOR","CIAMPEA","CICADAS"
